Category,Item,Price
Bakery Items,Cranberry-nut muffins,50
,Brownies with German chocolate frosting,60
,Chocolate cake,80
,"Cherry, peach, or apple cobbler",70
,Cupcakes with generous frosting,55
,Filled donuts,40
,Lemon tarts,65
,Almond croissants,75
,Cinnamon roll cappuccino,85
,Pecan Pie,90
,Blueberry Scones,65
,Banana Bread,80
,Apple Strudel,85
,Cheesecake (various flavors),100
,Danish Pastries,75
,Red Velvet Cake,95
,Coconut Macaroons,70
,Coffee Cake,75
Coffee Beverages,Matcha latte,90
,Nitro cold brew,100
,Vietnamese coffee,95
,Irish coffee,110
,Americano,70
,Cappuccino,80
,Double Espresso,75
,Latte,85
,Macchiato,75
,Mint Chocolate,95
,Mocha,90
,White Mocha,100
,ICE BLENDED,110
,Caramel,85
,Coffee Jelly,75
,Cookies and Cream,90
,Hazelnut Mocha,95
,Matcha Cream,90
,Mint Chocolate Chip,90
,Strawberry Cream,95
,Vanilla Bean,80
Tea Varieties,Green Tea,60
,Jasmine Tea,65
,Chamomile Tea,70
,Earl Grey Tea,75
,Peppermint Tea,65
,Hibiscus Tea,80
,Rooibos Tea,85
,Chai Tea,60
,Oolong Tea,90
,Black Tea,55
,White Tea,95
,"Tea Infusions (rosemary, lavender, etc.)",70
Other Hot Beverages,Espresso,60
,Long Black,70
,Flat White,75
,Decaf,65
,Cafe' Latte,80
,Mug a chino,85
,Hot Chocolate,90
Cold Beverages,Iced coffee,80
,Iced chocolate,85
,Fresh Fruit Lemonades (for summer),80
Additional Items,Affogato (espresso over gelato),100
,Turkish Coffee,85
,Honey Lavender Latte,95
,Acai Bowl,95
,Avocado Toast,90
,Greek Yogurt Parfait,80
,Quinoa Salad,100
,Vegan Baked Goods,75
,Protein Smoothies,90
,Pumpkin Spice Muffins (for fall),70
,Peppermint Mocha (for winter),95
,Gingerbread Latte (for the holiday season),90
,Spinach and Feta Croissant,85
,Caprese Sandwich,90
,Quiche Lorraine,95
,Smoked Salmon Bagel,100
,Gourmet Grilled Cheese,80
